Angle , E Gain, H Gain
0,9.4,9.4
0.75,9.39,9.39
1.5,9.39,9.39
2.25,9.37,9.38
3,9.36,9.37
3.75,9.33,9.36
4.5,9.31,9.34
5.25,9.27,9.33
6,9.23,9.31
6.75,9.19,9.28
7.5,9.14,9.25
8.25,9.09,9.22
9,9.03,9.19
9.75,8.97,9.16
10.5,8.9,9.12
11.25,8.83,9.08
12,8.75,9.03
12.75,8.66,8.98
13.5,8.57,8.93
14.25,8.48,8.88
15,8.38,8.82
15.75,8.27,8.76
16.5,8.16,8.7
17.25,8.04,8.63
18,7.92,8.56
18.75,7.79,8.48
19.5,7.65,8.41
20.25,7.51,8.33
21,7.37,8.24
21.75,7.22,8.15
22.5,7.06,8.06
23.25,6.89,7.96
24,6.72,7.86
24.75,6.54,7.76
25.5,6.36,7.65
26.25,6.17,7.54
27,5.97,7.42
27.75,5.77,7.3
28.5,5.56,7.18
29.25,5.34,7.04
30,5.11,6.91
30.75,4.88,6.77
31.5,4.64,6.62
32.25,4.39,6.47
33,4.14,6.32
33.75,3.87,6.16
34.5,3.6,5.99
35.25,3.32,5.81
36,3.03,5.63
36.75,2.73,5.45
37.5,2.42,5.26
38.25,2.1,5.06
39,1.77,4.85
39.75,1.43,4.63
40.5,1.08,4.41
41.25,0.72,4.18
42,0.34,3.94
42.75,-0.05,3.69
43.5,-0.44,3.43
44.25,-0.86,3.17
45,-1.28,2.89
45.75,-1.72,2.6
46.5,-2.18,2.3
47.25,-2.66,1.98
48,-3.15,1.65
48.75,-3.66,1.31
49.5,-4.18,0.95
50.25,-4.73,0.58
51,-5.31,0.19
51.75,-5.9,-0.22
52.5,-6.53,-0.66
53.25,-7.18,-1.11
54,-7.86,-1.59
54.75,-8.57,-2.09
55.5,-9.32,-2.63
56.25,-10.11,-3.2
57,-10.95,-3.81
57.75,-11.83,-4.45
58.5,-12.77,-5.15
59.25,-13.77,-5.9
60,-14.84,-6.71
60.75,-15.99,-7.6
61.5,-17.23,-8.57
62.25,-18.56,-9.63
63,-19.97,-10.82
63.75,-21.47,-12.13
64.5,-22.98,-13.58
65.25,-24.37,-15.15
66,-25.43,-16.73
66.75,-25.91,-18.02
67.5,-25.75,-18.52
68.25,-25.14,-17.98
69,-24.33,-16.72
69.75,-23.5,-15.24
70.5,-22.73,-13.8
71.25,-22.05,-12.49
72,-21.47,-11.31
72.75,-21,-10.27
73.5,-20.61,-9.34
74.25,-20.31,-8.5
75,-20.1,-7.74
75.75,-19.95,-7.06
76.5,-19.88,-6.44
77.25,-19.88,-5.87
78,-19.94,-5.35
78.75,-20.08,-4.87
79.5,-20.28,-4.43
80.25,-20.56,-4.02
81,-20.91,-3.64
81.75,-21.35,-3.29
82.5,-21.88,-2.97
83.25,-22.52,-2.66
84,-23.29,-2.39
84.75,-24.21,-2.13
85.5,-25.33,-1.89
86.25,-26.71,-1.66
87,-28.45,-1.46
87.75,-30.78,-1.27
88.5,-34.14,-1.09
89.25,-40.01,-0.93
90,-999.99,-0.78
90.75,-39.74,-0.64
91.5,-33.61,-0.52
92.25,-29.98,-0.41
93,-27.39,-0.31
93.75,-25.37,-0.22
94.5,-23.71,-0.15
95.25,-22.31,-0.08
96,-21.1,-0.02
96.75,-20.03,0.03
97.5,-19.08,0.06
98.25,-18.22,0.09
99,-17.45,0.11
99.75,-16.74,0.12
100.5,-16.1,0.12
101.25,-15.51,0.11
102,-14.96,0.1
102.75,-14.46,0.07
103.5,-13.99,0.04
104.25,-13.56,0
105,-13.16,-0.05
105.75,-12.79,-0.11
106.5,-12.45,-0.18
107.25,-12.13,-0.25
108,-11.84,-0.33
108.75,-11.57,-0.42
109.5,-11.32,-0.52
110.25,-11.09,-0.63
111,-10.88,-0.74
111.75,-10.69,-0.86
112.5,-10.52,-0.98
113.25,-10.36,-1.12
114,-10.22,-1.25
114.75,-10.09,-1.4
115.5,-9.97,-1.55
116.25,-9.87,-1.71
117,-9.78,-1.87
117.75,-9.7,-2.03
118.5,-9.63,-2.2
119.25,-9.57,-2.37
120,-9.52,-2.54
120.75,-9.48,-2.71
121.5,-9.44,-2.88
122.25,-9.4,-3.04
123,-9.37,-3.21
123.75,-9.34,-3.36
124.5,-9.3,-3.51
125.25,-9.27,-3.65
126,-9.22,-3.78
126.75,-9.17,-3.89
127.5,-9.11,-3.99
128.25,-9.03,-4.06
129,-8.95,-4.12
129.75,-8.84,-4.16
130.5,-8.72,-4.17
131.25,-8.58,-4.16
132,-8.42,-4.12
132.75,-8.24,-4.06
133.5,-8.04,-3.98
134.25,-7.82,-3.88
135,-7.58,-3.76
135.75,-7.33,-3.62
136.5,-7.06,-3.46
137.25,-6.77,-3.28
138,-6.48,-3.1
138.75,-6.18,-2.9
139.5,-5.86,-2.7
140.25,-5.55,-2.49
141,-5.22,-2.27
141.75,-4.9,-2.06
142.5,-4.57,-1.83
143.25,-4.25,-1.61
144,-3.93,-1.39
144.75,-3.61,-1.17
145.5,-3.29,-0.96
146.25,-2.98,-0.74
147,-2.67,-0.53
147.75,-2.37,-0.32
148.5,-2.07,-0.12
149.25,-1.78,0.08
150,-1.5,0.27
150.75,-1.22,0.46
151.5,-0.95,0.65
152.25,-0.69,0.83
153,-0.44,1
153.75,-0.19,1.17
154.5,0.05,1.33
155.25,0.28,1.49
156,0.51,1.64
156.75,0.72,1.79
157.5,0.93,1.93
158.25,1.13,2.07
159,1.33,2.2
159.75,1.51,2.32
160.5,1.69,2.44
161.25,1.87,2.56
162,2.03,2.67
162.75,2.19,2.78
163.5,2.34,2.88
164.25,2.48,2.97
165,2.62,3.06
165.75,2.75,3.15
166.5,2.87,3.23
167.25,2.99,3.31
168,3.09,3.38
168.75,3.2,3.45
169.5,3.29,3.51
170.25,3.38,3.57
171,3.46,3.62
171.75,3.54,3.67
172.5,3.61,3.72
173.25,3.67,3.76
174,3.72,3.79
174.75,3.77,3.82
175.5,3.81,3.85
176.25,3.85,3.88
177,3.88,3.9
177.75,3.9,3.91
178.5,3.92,3.92
179.25,3.93,3.93
180,3.93,3.93
